name	size
WGD2ANC00267	7
WGD2ANC00268	4
WGD2ANC00269	4
WGD2ANC00270	5
WGD2ANC00271	7
WGD2ANC00272	5
WGD2ANC00273	5
WGD2ANC00274	6
WGD2ANC00275	6
WGD2ANC00276	4
WGD2ANC00277	6
WGD2ANC00278	7
WGD2ANC00279	7
WGD2ANC00280	7
WGD2ANC00281	7
WGD2ANC00282	7
WGD2ANC00283	7
WGD2ANC00284	7
WGD2ANC00285	5
WGD2ANC00286	7
WGD2ANC00287	10
WGD2ANC00288	6
WGD2ANC00289	8
WGD2ANC00290	7
WGD2ANC00291	7
WGD2ANC00292	7
WGD2ANC00293	7
WGD2ANC00294	12
WGD2ANC00295	9
WGD2ANC00296	12
WGD2ANC00297	7
WGD2ANC00298	6
WGD2ANC00299	7
WGD2ANC00300	6
WGD2ANC00301	4
WGD2ANC00302	6
WGD2ANC00303	7
WGD2ANC00304	12
WGD2ANC00305	5
WGD2ANC00306	7
WGD2ANC00307	7
WGD2ANC00308	11
WGD2ANC00309	5
WGD2ANC00310	4
WGD2ANC00311	10
WGD2ANC00312	6
WGD2ANC00313	6
WGD2ANC00314	7
WGD2ANC00315	4
WGD2ANC00316	7
WGD2ANC00317	4
WGD2ANC00318	4
WGD2ANC00319	4
WGD2ANC00320	6
WGD2ANC00321	7
WGD2ANC00322	4
WGD2ANC00323	6
WGD2ANC00324	6
WGD2ANC00325	7
WGD2ANC00326	5
WGD2ANC00327	4
WGD2ANC00328	4
WGD2ANC00329	4
WGD2ANC00330	8
WGD2ANC00331	7
WGD2ANC00332	6
WGD2ANC00333	5
WGD2ANC00334	7
WGD2ANC00335	6
WGD2ANC00336	3
WGD2ANC00337	7
WGD2ANC00338	6
WGD2ANC00339	6
WGD2ANC00340	4
WGD2ANC00341	6
WGD2ANC00342	6
WGD2ANC00343	6
WGD2ANC00344	4
WGD2ANC00345	4
WGD2ANC00346	9
WGD2ANC00347	7
WGD2ANC00348	5
WGD2ANC00349	7
WGD2ANC00350	13
WGD2ANC00351	7
WGD2ANC00352	2
WGD2ANC00353	6
WGD2ANC00354	6
WGD2ANC00355	7
WGD2ANC00356	7
WGD2ANC00357	6
WGD2ANC00358	7
WGD2ANC00359	5
WGD2ANC00360	4
WGD2ANC00361	5
WGD2ANC00362	4
WGD2ANC00363	4
WGD2ANC00364	7
WGD2ANC00365	7
WGD2ANC00366	4
WGD2ANC00367	4
WGD2ANC00368	7
WGD2ANC00369	6
WGD2ANC00370	6
WGD2ANC00371	7
WGD2ANC00372	7
WGD2ANC00373	13
WGD2ANC00374	4
WGD2ANC00375	10
WGD2ANC00376	4
WGD2ANC00377	5
WGD2ANC00378	4
WGD2ANC00379	6
WGD2ANC00380	7
WGD2ANC00381	4
WGD2ANC00382	4
WGD2ANC00383	7
WGD2ANC00384	4
WGD2ANC00385	4
WGD2ANC00386	4
WGD2ANC00387	13
WGD2ANC00388	13
WGD2ANC00389	4
WGD2ANC00390	7
WGD2ANC00391	7
WGD2ANC00392	5
WGD2ANC00393	7
WGD2ANC00394	8
WGD2ANC00395	5
WGD2ANC00396	6
WGD2ANC00397	3
WGD2ANC00398	3
WGD2ANC00399	4
WGD2ANC00400	4
WGD2ANC00401	4
WGD2ANC00402	7
WGD2ANC00403	5
WGD2ANC00404	11
WGD2ANC00405	7
WGD2ANC00406	7
WGD2ANC00407	4
WGD2ANC00408	4
WGD2ANC00409	4
WGD2ANC00410	4
WGD2ANC00411	5
WGD2ANC00412	13
WGD2ANC00413	7
WGD2ANC00414	6
WGD2ANC00415	6
WGD2ANC00416	6
WGD2ANC00417	6
WGD2ANC00418	9
WGD2ANC00419	4
WGD2ANC00420	6
WGD2ANC00421	4
WGD2ANC00422	7
WGD2ANC00423	7
WGD2ANC00424	7
WGD2ANC00425	6
WGD2ANC00426	10
WGD2ANC00427	4
WGD2ANC00428	5
WGD2ANC00429	4
WGD2ANC00430	5
WGD2ANC00431	5
WGD2ANC00432	5
WGD2ANC00433	9
WGD2ANC00434	4
WGD2ANC00435	7
WGD2ANC00436	7
WGD2ANC00437	3
WGD2ANC00438	5
WGD2ANC00439	4
WGD2ANC00440	7
WGD2ANC00441	8
WGD2ANC00442	5
WGD2ANC00443	8
WGD2ANC00444	5
WGD2ANC00445	9
WGD2ANC00446	9
WGD2ANC00447	7
WGD2ANC00448	5
WGD2ANC00449	4
WGD2ANC00450	6
WGD2ANC00451	9
WGD2ANC00452	4
WGD2ANC00453	4
WGD2ANC00454	12
WGD2ANC00455	7
WGD2ANC00456	9
WGD2ANC00457	4
WGD2ANC00458	4
WGD2ANC00459	6
WGD2ANC00460	10
WGD2ANC00461	8
WGD2ANC00462	7
WGD2ANC00463	12
WGD2ANC00464	4
WGD2ANC00465	2
WGD2ANC00466	10
WGD2ANC00467	10
WGD2ANC00468	6
WGD2ANC00469	10
WGD2ANC00470	10
WGD2ANC00471	13
WGD2ANC00472	7
WGD2ANC00473	13
WGD2ANC00474	7
WGD2ANC00475	7
WGD2ANC00476	8
WGD2ANC00477	4
WGD2ANC00478	4
WGD2ANC00479	4
WGD2ANC00480	9
WGD2ANC00481	11
WGD2ANC00482	6
WGD2ANC00483	6
WGD2ANC00484	6
WGD2ANC00485	10
WGD2ANC00486	7
WGD2ANC00487	9
WGD2ANC00488	10
WGD2ANC00489	4
WGD2ANC00490	4
WGD2ANC00491	7
WGD2ANC00492	13
WGD2ANC00493	7
WGD2ANC00494	3
WGD2ANC00495	10
WGD2ANC00496	9
WGD2ANC00497	4
WGD2ANC00498	4
WGD2ANC00499	3
WGD2ANC00500	12
WGD2ANC00501	7
WGD2ANC00502	6
WGD2ANC00503	12
WGD2ANC00504	7
WGD2ANC00505	11
WGD2ANC00506	7
WGD2ANC00507	5
WGD2ANC00508	6
WGD2ANC00509	7
WGD2ANC00510	7
WGD2ANC00511	5
WGD2ANC00512	4
WGD2ANC00513	4
WGD2ANC00514	3
WGD2ANC00515	7
WGD2ANC00516	7
WGD2ANC00517	5
WGD2ANC00518	4
WGD2ANC00519	6
WGD2ANC00520	3
WGD2ANC00521	3
WGD2ANC00522	7
WGD2ANC00523	7
WGD2ANC00524	7
WGD2ANC00525	4
WGD2ANC00526	9
WGD2ANC00527	7
WGD2ANC00528	11
WGD2ANC00529	6
WGD2ANC00530	12
WGD2ANC00531	7
WGD2ANC00532	4
WGD2ANC00533	10
WGD2ANC00534	7
WGD2ANC00535	13
WGD2ANC00536	5
WGD2ANC00537	10
WGD2ANC00538	7
WGD2ANC00539	7
WGD2ANC00540	10
WGD2ANC00541	10
WGD2ANC00542	9
WGD2ANC00543	6
WGD2ANC00544	4
WGD2ANC00545	4
WGD2ANC00546	4
WGD2ANC00547	5
WGD2ANC00548	4
WGD2ANC00549	2
WGD2ANC00550	7
WGD2ANC00551	4
WGD2ANC00552	6
WGD2ANC00553	5
WGD2ANC00554	7
WGD2ANC00555	4
WGD2ANC00556	6
WGD2ANC00557	4
WGD2ANC00558	4
WGD2ANC00559	5
WGD2ANC00560	3
WGD2ANC00561	6
WGD2ANC00562	7
WGD2ANC00563	4
WGD2ANC00564	4
WGD2ANC00565	6
WGD2ANC00566	4
WGD2ANC00567	7
WGD2ANC00568	4
WGD2ANC00569	5
WGD2ANC00570	7
WGD2ANC00571	5
WGD2ANC00572	7
WGD2ANC00573	4
WGD2ANC00574	7
WGD2ANC00575	4
WGD2ANC00576	7
WGD2ANC00577	7
WGD2ANC00578	6
WGD2ANC00579	4
WGD2ANC00580	7
WGD2ANC00581	10
WGD2ANC00582	4
WGD2ANC00583	4
WGD2ANC00584	11
WGD2ANC00585	7
WGD2ANC00586	3
WGD2ANC00587	6
WGD2ANC00588	7
WGD2ANC00589	4
WGD2ANC00590	7
WGD2ANC00591	11
WGD2ANC00592	7
WGD2ANC00593	7
WGD2ANC00594	7
WGD2ANC00595	5
WGD2ANC00596	4
WGD2ANC00597	10
WGD2ANC00598	7
WGD2ANC00599	7
WGD2ANC00600	6
WGD2ANC00601	7
WGD2ANC00602	4
WGD2ANC00603	7
WGD2ANC00604	6
WGD2ANC00605	4
WGD2ANC00606	5
WGD2ANC00607	7
WGD2ANC00608	7
WGD2ANC00609	6
WGD2ANC00610	5
WGD2ANC00611	5
WGD2ANC00612	7
WGD2ANC00613	7
WGD2ANC00614	7
WGD2ANC00615	4
WGD2ANC00616	7
WGD2ANC00617	7
WGD2ANC00618	7
WGD2ANC00619	5
WGD2ANC00620	9
WGD2ANC00621	4
WGD2ANC00622	7
WGD2ANC00623	4
WGD2ANC00624	9
WGD2ANC00625	10
WGD2ANC00626	13
WGD2ANC00627	11
WGD2ANC00628	7
WGD2ANC00629	6
WGD2ANC00630	10
WGD2ANC00631	7
WGD2ANC00632	6
WGD2ANC00633	6
WGD2ANC00634	7
WGD2ANC00635	6
WGD2ANC00636	4
WGD2ANC00637	13
WGD2ANC00638	6
WGD2ANC00639	5
WGD2ANC00640	6
WGD2ANC00641	7
WGD2ANC00642	10
WGD2ANC00643	6
WGD2ANC00644	7
WGD2ANC00645	6
WGD2ANC00646	7
WGD2ANC00647	10
WGD2ANC00648	8
WGD2ANC00649	6
WGD2ANC00650	5
WGD2ANC00651	10
WGD2ANC00652	6
WGD2ANC00653	10
WGD2ANC00654	4
WGD2ANC00655	7
WGD2ANC00656	12
WGD2ANC00657	6
WGD2ANC00658	5
WGD2ANC00659	4
WGD2ANC00660	2
WGD2ANC00661	6
WGD2ANC00662	7
WGD2ANC00663	6
WGD2ANC00664	7
WGD2ANC00665	6
WGD2ANC00666	7
WGD2ANC00667	5
WGD2ANC00668	4
WGD2ANC00669	6
WGD2ANC00670	9
WGD2ANC00671	6
WGD2ANC00672	8
WGD2ANC00673	7
WGD2ANC00674	4
WGD2ANC00675	6
WGD2ANC00676	6
WGD2ANC00677	9
WGD2ANC00678	5
WGD2ANC00679	6
WGD2ANC00680	6
WGD2ANC00681	7
WGD2ANC00682	4
WGD2ANC00683	7
WGD2ANC00684	7
WGD2ANC00685	5
WGD2ANC00686	4
WGD2ANC00687	9
WGD2ANC00688	5
WGD2ANC00689	7
WGD2ANC00690	6
WGD2ANC00691	7
WGD2ANC00692	7
WGD2ANC00693	6
WGD2ANC00694	7
WGD2ANC00695	4
WGD2ANC00696	9
WGD2ANC00697	6
WGD2ANC00698	7
WGD2ANC00699	7
WGD2ANC00700	7
WGD2ANC00701	4
WGD2ANC00702	7
WGD2ANC00703	4
WGD2ANC00704	7
WGD2ANC00705	5
WGD2ANC00706	7
WGD2ANC00707	4
WGD2ANC00708	6
WGD2ANC00709	11
WGD2ANC00710	7
WGD2ANC00711	7
WGD2ANC00712	4
WGD2ANC00713	7
WGD2ANC00714	7
WGD2ANC00715	6
WGD2ANC00716	6
WGD2ANC00717	7
WGD2ANC00718	6
WGD2ANC00719	6
WGD2ANC00720	6
WGD2ANC00721	7
WGD2ANC00722	6
WGD2ANC00723	6
WGD2ANC00724	6
WGD2ANC00725	4
WGD2ANC00726	10
WGD2ANC00727	7
WGD2ANC00728	6
WGD2ANC00729	7
WGD2ANC00730	6
WGD2ANC00731	5
WGD2ANC00732	10
WGD2ANC00733	4
WGD2ANC00734	4
WGD2ANC00735	4
WGD2ANC00736	4
WGD2ANC00737	5
WGD2ANC00738	4
WGD2ANC00739	4
WGD2ANC00740	3
WGD2ANC00741	4
WGD2ANC00742	7
WGD2ANC00743	4
WGD2ANC00744	5
WGD2ANC00745	5
WGD2ANC00746	9
WGD2ANC00747	6
WGD2ANC00748	6
WGD2ANC00749	7
WGD2ANC00750	7
WGD2ANC00751	5
WGD2ANC00752	4
WGD2ANC00753	4
WGD2ANC00754	7
WGD2ANC00755	4
WGD2ANC00756	4
WGD2ANC00757	4
WGD2ANC00758	4
WGD2ANC00759	7
WGD2ANC00760	7
WGD2ANC00761	6
WGD2ANC00762	4
WGD2ANC00763	3
WGD2ANC00764	7
WGD2ANC00765	4
WGD2ANC00766	5
WGD2ANC00767	4
WGD2ANC00768	7
WGD2ANC00769	5
WGD2ANC00770	6
WGD2ANC00771	7
WGD2ANC00772	10
WGD2ANC00773	8
WGD2ANC00774	3
WGD2ANC00775	8
WGD2ANC00776	6
WGD2ANC00777	6
WGD2ANC00778	8
WGD2ANC00779	11
WGD2ANC00780	6
WGD2ANC00781	7
WGD2ANC00782	4
WGD2ANC00783	3
WGD2ANC00784	6
WGD2ANC00785	7
WGD2ANC00786	4
WGD2ANC00787	9
WGD2ANC00788	4
WGD2ANC00789	5
WGD2ANC00790	4
WGD2ANC00791	4
WGD2ANC00792	6
WGD2ANC00793	6
WGD2ANC00794	5
WGD2ANC00795	4
WGD2ANC00796	7
WGD2ANC00797	4
WGD2ANC00798	7
WGD2ANC00799	5
WGD2ANC00800	7
WGD2ANC00801	4
WGD2ANC00802	7
WGD2ANC00803	12
WGD2ANC00804	11
WGD2ANC00805	13
WGD2ANC00806	10
WGD2ANC00807	5
WGD2ANC00808	7
WGD2ANC00809	8
WGD2ANC00810	7
WGD2ANC00811	13
WGD2ANC00812	7
WGD2ANC00813	6
WGD2ANC00814	6
WGD2ANC00815	7
WGD2ANC00816	4
WGD2ANC00817	6
WGD2ANC00818	7
WGD2ANC00819	7
WGD2ANC00820	7
WGD2ANC00821	7
WGD2ANC00822	7
WGD2ANC00823	4
WGD2ANC00824	5
WGD2ANC00825	5
WGD2ANC00826	6
WGD2ANC00827	4
WGD2ANC00828	7
WGD2ANC00829	5
WGD2ANC00830	7
WGD2ANC00831	6
WGD2ANC00832	4
WGD2ANC00833	6
WGD2ANC00834	7
WGD2ANC00835	4
WGD2ANC00836	6
WGD2ANC00837	6
WGD2ANC00838	7
WGD2ANC00839	7
WGD2ANC00840	4
WGD2ANC00841	4
WGD2ANC00842	5
WGD2ANC00843	7
WGD2ANC00844	4
WGD2ANC00845	10
WGD2ANC00846	7
WGD2ANC00847	9
WGD2ANC00848	7
WGD2ANC00849	2
WGD2ANC00850	11
WGD2ANC00851	10
WGD2ANC00852	11
WGD2ANC00853	11
WGD2ANC00854	4
WGD2ANC00855	12
WGD2ANC00856	7
WGD2ANC00857	7
WGD2ANC00858	7
WGD2ANC00859	7
WGD2ANC00860	4
WGD2ANC00861	7
WGD2ANC00862	6
WGD2ANC00863	6
WGD2ANC00864	7
WGD2ANC00865	4
WGD2ANC00866	6
WGD2ANC00867	6
WGD2ANC00868	6
WGD2ANC00869	4
WGD2ANC00870	7
WGD2ANC00871	7
WGD2ANC00872	6
WGD2ANC00873	7
WGD2ANC00874	5
WGD2ANC00875	6
WGD2ANC00876	7
WGD2ANC00877	7
WGD2ANC00878	7
WGD2ANC00879	7
WGD2ANC00880	7
WGD2ANC00881	7
WGD2ANC00882	4
WGD2ANC00883	4
WGD2ANC00884	7
WGD2ANC00885	4
WGD2ANC00886	4
WGD2ANC00887	4
WGD2ANC00888	7
WGD2ANC00889	5
WGD2ANC00890	7
WGD2ANC00891	3
WGD2ANC00892	6
WGD2ANC00893	7
WGD2ANC00894	7
WGD2ANC00895	4
WGD2ANC00896	7
WGD2ANC00897	7
WGD2ANC00898	6
WGD2ANC00899	5
WGD2ANC00900	5
WGD2ANC00901	5
WGD2ANC00902	7
WGD2ANC00903	4
WGD2ANC00904	6
WGD2ANC00905	7
WGD2ANC00906	8
WGD2ANC00907	12
WGD2ANC00908	7
WGD2ANC00909	10
WGD2ANC00910	5
WGD2ANC00911	6
WGD2ANC00912	9
WGD2ANC00913	7
WGD2ANC00914	7
WGD2ANC00915	6
WGD2ANC00916	4
WGD2ANC00917	4
WGD2ANC00918	6
WGD2ANC00919	4
WGD2ANC00920	7
WGD2ANC00921	4
WGD2ANC00922	6
WGD2ANC00923	5
WGD2ANC00924	6
WGD2ANC00925	3
WGD2ANC00926	6
WGD2ANC00927	6
WGD2ANC00928	12
WGD2ANC00929	4
WGD2ANC00930	7
WGD2ANC00931	4
WGD2ANC00932	7
WGD2ANC00933	12
WGD2ANC00934	10
WGD2ANC00935	10
WGD2ANC00936	4
WGD2ANC00937	4
WGD2ANC00938	7
WGD2ANC00939	4
WGD2ANC00940	4
WGD2ANC00941	4
WGD2ANC00942	4
WGD2ANC00943	6
WGD2ANC00944	2
WGD2ANC00945	7
WGD2ANC00946	5
WGD2ANC00947	7
WGD2ANC00948	13
WGD2ANC00949	11
WGD2ANC00950	7
WGD2ANC00951	4
WGD2ANC00952	7
WGD2ANC00953	7
WGD2ANC00954	5
WGD2ANC00955	6
WGD2ANC00956	7
WGD2ANC00957	7
WGD2ANC00958	12
WGD2ANC00959	10
WGD2ANC00960	6
WGD2ANC00961	4
WGD2ANC00962	4
WGD2ANC00963	9
WGD2ANC00964	7
WGD2ANC00965	4
WGD2ANC00966	5
WGD2ANC00967	6
WGD2ANC00968	4
WGD2ANC00969	10
WGD2ANC00970	4
WGD2ANC00971	7
WGD2ANC00972	6
WGD2ANC00973	7
WGD2ANC00974	10
WGD2ANC00975	11
WGD2ANC00976	13
WGD2ANC00977	7
WGD2ANC00978	7
WGD2ANC00979	7
WGD2ANC00980	7
WGD2ANC00981	10
WGD2ANC00982	7
WGD2ANC00983	4
WGD2ANC00984	11
WGD2ANC00985	12
WGD2ANC00986	11
WGD2ANC00987	7
WGD2ANC00988	9
WGD2ANC00989	6
WGD2ANC00990	6
WGD2ANC00991	6
WGD2ANC00992	4
WGD2ANC00993	5
WGD2ANC00994	4
WGD2ANC00995	6
WGD2ANC00996	7
WGD2ANC00997	11
WGD2ANC00998	12
WGD2ANC00999	6
WGD2ANC01000	7
WGD2ANC01001	9
WGD2ANC01002	2
WGD2ANC01003	3
WGD2ANC01004	7
WGD2ANC01005	7
WGD2ANC01006	12
WGD2ANC01007	6
WGD2ANC01008	5
WGD2ANC01009	7
WGD2ANC01010	4
WGD2ANC01011	7
WGD2ANC01012	4
WGD2ANC01013	10
WGD2ANC01014	7
WGD2ANC01015	4
WGD2ANC01016	12
WGD2ANC01017	4
WGD2ANC01018	12
WGD2ANC01019	7
WGD2ANC01020	7
WGD2ANC01021	7
WGD2ANC01022	6
WGD2ANC01023	13
WGD2ANC01024	6
WGD2ANC01025	4
WGD2ANC01026	6
WGD2ANC01027	4
WGD2ANC01028	4
WGD2ANC01029	11
WGD2ANC01030	6
WGD2ANC01031	4
WGD2ANC01032	8
WGD2ANC01033	7
WGD2ANC01034	4
WGD2ANC01035	7
WGD2ANC01036	6
WGD2ANC01037	6
WGD2ANC01038	9
WGD2ANC01039	6
WGD2ANC01040	13
WGD2ANC01041	13
WGD2ANC01042	4
WGD2ANC01043	7
WGD2ANC01044	2
WGD2ANC01045	8
WGD2ANC01046	8
WGD2ANC01047	5
WGD2ANC01048	7
WGD2ANC01049	10
WGD2ANC01050	6
WGD2ANC01051	4
WGD2ANC01052	5
WGD2ANC01053	4
WGD2ANC01054	5
WGD2ANC01055	6
WGD2ANC01056	4
WGD2ANC01057	4
WGD2ANC01058	7
WGD2ANC01059	8
WGD2ANC01060	7
WGD2ANC01061	4
WGD2ANC01062	4
WGD2ANC01063	11
WGD2ANC01064	7
WGD2ANC01065	7
WGD2ANC01066	12
WGD2ANC01067	4
WGD2ANC01068	10
WGD2ANC01069	10
WGD2ANC01070	6
WGD2ANC01071	7
WGD2ANC01072	6
WGD2ANC01073	6
WGD2ANC01074	6
WGD2ANC01075	13
WGD2ANC01076	12
WGD2ANC01077	5
WGD2ANC01078	9
WGD2ANC01079	6
WGD2ANC01080	7
WGD2ANC01081	4
WGD2ANC01082	7
WGD2ANC01083	4
WGD2ANC01084	7
WGD2ANC01085	7
WGD2ANC01086	2
WGD2ANC01087	4
WGD2ANC01088	4
WGD2ANC01089	4
WGD2ANC01090	7
WGD2ANC01091	6
WGD2ANC01092	3
WGD2ANC01093	7
WGD2ANC01094	7
WGD2ANC01095	4
WGD2ANC01096	9
WGD2ANC01097	4
WGD2ANC01098	7
WGD2ANC01099	4
WGD2ANC01100	9
WGD2ANC01101	5
WGD2ANC01102	9
WGD2ANC01103	2
WGD2ANC01104	6
WGD2ANC01105	12
WGD2ANC01106	6
WGD2ANC01107	8
WGD2ANC01108	5
WGD2ANC01109	6
WGD2ANC01110	7
WGD2ANC01111	7
WGD2ANC01112	7
WGD2ANC01113	7
WGD2ANC01114	7
WGD2ANC01115	7
WGD2ANC01116	4
WGD2ANC01117	5
WGD2ANC01118	6
WGD2ANC01119	6
WGD2ANC01120	5
WGD2ANC01121	6
WGD2ANC01122	12
WGD2ANC01123	13
WGD2ANC01124	7
WGD2ANC01125	7
WGD2ANC01126	4
WGD2ANC01127	3
WGD2ANC01128	6
WGD2ANC01129	6
WGD2ANC01130	6
WGD2ANC01131	7
WGD2ANC01132	7
WGD2ANC01133	7
WGD2ANC01134	4
WGD2ANC01135	6
WGD2ANC01136	10
WGD2ANC01137	6
WGD2ANC01138	7
WGD2ANC01139	6
WGD2ANC01140	10
WGD2ANC01141	6
WGD2ANC01142	7
WGD2ANC01143	3
WGD2ANC01144	10
WGD2ANC01145	7
WGD2ANC01146	4
WGD2ANC01147	4
WGD2ANC01148	6
WGD2ANC01149	6
WGD2ANC01150	6
WGD2ANC01151	9
WGD2ANC01152	13
WGD2ANC01153	8
WGD2ANC01154	4
WGD2ANC01155	7
WGD2ANC01156	7
WGD2ANC01157	7
WGD2ANC01158	7
WGD2ANC01159	7
WGD2ANC01160	4
WGD2ANC01161	7
WGD2ANC01162	6
WGD2ANC01163	6
WGD2ANC01164	7
WGD2ANC01165	6
